Character ID,Character Name,Species,Episode Count,Avg Rating (Weighted),Total IMDB Votes,Series,Popularity Score
1458,Dolim,Xindi-Reptilian,8,8.38,2129,ENT,6.423
1377,Degra,Xindi-Primate,10,8.36,2166,ENT,6.422
2092,Gleason,Human,2,7.72,4059,TNG,6.416
3729,Lore,Unknown,5,7.69,4157,"TNG, PIC",6.41
5987,Talas,Andorian,3,8.4,2036,ENT,6.4
6124,Thalen,Xindi-Primate,3,8.4,2038,ENT,6.4
3234,Kellogg,Human,41,6.91,10489,TNG,6.395
405,Asencia,Vau N'Akat,9,7.83,3509,PRO,6.395
4576,Noonian Soong,Human,2,7.7,4032,TNG,6.391
818,Burke,Human,2,7.7,4023,"DS9, TNG",6.39
2704,Jake Potts,Human,1,7.7,4000,TNG,6.387
4409,Myers,Human,1,7.7,4000,TNG,6.387
3374,Kopf,Human,1,7.7,4000,TNG,6.387
6672,Willie Potts,Human,1,7.7,4000,TNG,6.387
5671,Sirna Kolrami,Zakdorn,1,7.7,4000,TNG,6.387
1731,Ethan,Unknown,1,7.7,4000,TNG,6.387
4281,Min Riker,Human,1,7.7,4000,TNG,6.387
521,Barash,Unknown,1,7.7,4000,TNG,6.387
4432,Nagel,Human,1,7.7,4000,TNG,6.387
735,Bractor,Ferengi,1,7.7,4000,TNG,6.387
1120,Costa,Human,1,7.7,4000,TNG,6.387
1528,Duffy,Human,1,7.7,4000,TNG,6.387
2801,Jean-Luc Riker,Unknown,1,7.7,4000,TNG,6.387
3794,Lydia Anderson,Human,21,6.77,12309,VOY,6.373
6380,Tysess,Andorian,8,7.92,3106,PRO,6.369
3479,L'Rell,Klingon,14,7.23,6692,DIS,6.369
1425,Dexter Remmick,Human,3,7.05,8043,TNG,6.342
6668,Williams,Human,6,7.6,4167,"TNG, ENT",6.337
4556,Nilsson,Human,26,6.43,18759,DIS,6.325
1473,Donald Varley,Human,1,7.6,4000,TNG,6.304
4732,Palor Toff,Unknown,1,7.6,4000,TNG,6.304
6024,Taris,Romulan,1,7.6,4000,TNG,6.304
6456,Varria,Unknown,1,7.6,4000,TNG,6.304
3335,Kivas Fajo,Zibalian,1,7.6,4000,TNG,6.304
3359,Kol,Klingon,7,7.2,6292,"DIS, VOY, TNG",6.298
6524,Voq,Klingon,4,7.21,6206,DIS,6.295
6609,Weyoun 7,Vorta,4,7.55,4042,DS9,6.273
2111,Gor,Breen,4,7.55,4040,DS9,6.272
5077,Rance,Betarian,1,7.2,6000,DIS,6.264
699,Boliska,Human,5,6.95,8136,TNG,6.261
3258,Kes,Ocampa,70,6.68,11515,VOY,6.251
4587,Noum,Tellarite,7,7.9,2708,PRO,6.245
708,Borg Queen,Borg,17,7.9,2647,"PIC, VOY, LD",6.23
1951,Gabrielle Burnham,Human,6,6.9,8141,DIS,6.214
2851,Jett Reno,Human,14,6.64,11408,DIS,6.206
6694,Wright,Human,12,6.87,8383,TNG,6.202
5500,Sarek,Vulcan,14,7.34,4625,"DIS, TOS, TNG, TAS",6.195
4269,Mila,Cardassian,3,8.12,2056,DS9,6.192
4915,Pran,Breen,3,8.12,2050,DS9,6.19
1831,Fitzpatrick,Human,44,6.65,10917,"VOY, TOS",6.184
5371,Rusot,Cardassian,3,8.11,2042,DS9,6.18
786,Broca,Cardassian,2,8.11,2029,DS9,6.177
5459,Sam Rutherford,Unknown,30,7.36,4355,LD,6.164
563,Beckett Mariner,Human,30,7.36,4355,LD,6.164
2678,Jack Ransom,Human,30,7.36,4355,LD,6.164
904,Carol Freeman,Human,30,7.36,4355,LD,6.164
736,Brad Boimler,Human,30,7.36,4355,LD,6.164
1171,D'Vana Tendi,Orion,30,7.36,4355,LD,6.164
235,Amanda Grayson,Human,12,7.33,4476,"DIS, TOS, TAS",6.161
3715,Lonar,Cardassian,1,8.1,2000,DS9,6.157
6586,Weldon,Human,1,8.1,2000,DS9,6.157
2402,Hilliard,Human,1,8.1,2000,DS9,6.157
693,Bodan,Bajoran,1,8.1,2000,DS9,6.157
5164,Revok,Cardassian,1,8.1,2000,DS9,6.157
2552,Ishka,Ferengi,5,8.05,2093,DS9,6.156
5609,Shaxs,Bajoran,26,7.35,4301,LD,6.153
5883,T'Ana,Caitian,26,7.35,4300,LD,6.151
1204,D. Nhan,Barzan,15,7.29,4562,DIS,6.146
3585,Leah Brahms,Human,3,7.4,4047,"TNG, LD",6.143
1034,Christy Henshaw,Human,2,7.4,4035,TNG,6.141
1960,Galek Sar,Promellian,1,7.4,4000,TNG,6.138
4904,Porthos,Unknown,37,6.95,6745,"ENT, DIS",6.125
4456,Naomi Wildman,Human,19,6.62,10345,VOY,6.118
5733,Soval,Vulcan,12,7.91,2260,ENT,6.112
3603,Leland,Human,8,7.3,4296,DIS,6.111
3804,M'Pella,Unknown,23,7.26,4512,DS9,6.109
5499,Sarda,Unknown,1,7.6,3000,DS9,6.085
6296,Tosk,Unknown,1,7.6,3000,DS9,6.085
255,Amin,Human,2,7.31,4053,DIS,6.074
4149,Me Hani Ika Hali Ka Po,Xahean,2,7.31,4053,DIS,6.074
4535,Nicola,Human,2,7.31,4053,DIS,6.074
3435,Kroad,Human,2,7.31,4053,DIS,6.074
1080,Colt,Unknown,2,7.31,4053,DIS,6.074
3944,Mann,Human,2,7.31,4053,DIS,6.074
3597,Leeta,Bajoran,17,7.23,4364,DS9,6.058
2307,Harrison,Human,18,6.98,5845,TOS,6.058
5050,Raffaela Musiker,Human,28,7.05,5358,PIC,6.054
1847,Foster,Human,21,7.17,4459,"VOY, ENT",6.028
686,Bobby,Human,14,6.97,5672,TOS,6.022
3389,Korok,Klingon,3,7.25,4021,"ENT, VOY",6.02
456,Axum,Axum's species,2,7.9,2021,VOY,6.013
3562,Laura,Human,2,7.9,2021,VOY,6.013
5667,Siral,Unknown,1,7.9,2000,VOY,6.005
6070,Telev,Andorian,1,7.9,2000,ENT,6.005
4403,Muroc,Vulcan,1,7.9,2000,ENT,6.005
1849,Four of Twelve,Unknown,1,7.9,2000,VOY,6.005
6018,Tarah,Andorian,1,7.9,2000,ENT,6.005
804,Brunt,Ferengi,8,7.2,4138,DS9,5.997
4404,Murphy,Human,29,7.11,4604,VOY,5.996
3918,Maihar'du,Hupyrian,7,7.19,4119,DS9,5.983
6795,Zek,Ferengi,7,7.19,4119,DS9,5.983
2176,Gregory Quinn,Human,2,7.2,4043,TNG,5.981
6458,Vash,Human,3,7.2,4067,"TNG, DS9",5.981
2751,Janice Rand,Human,9,6.95,5411,"TOS, VOY",5.974
130,Ajur,Vorgon,1,7.2,4000,TNG,5.972
3032,Joval,Risian,1,7.2,4000,TNG,5.972
5911,T'Shanik,Vulcan,1,7.2,4000,TNG,5.972
707,Boratus,Vorgon,1,7.2,4000,TNG,5.972
5329,Rondon,Zaldan,1,7.2,4000,TNG,5.972
4642,Oliana Mirren,Human,1,7.2,4000,TNG,5.972
5732,Sovak,Ferengi,1,7.2,4000,TNG,5.972
2703,Jake Kurland,Human,1,7.2,4000,TNG,5.972
4356,Mordock,Benzite,1,7.2,4000,TNG,5.972
953,Chang,Human,1,7.2,4000,TNG,5.972
3642,Lewis,Human,5,6.97,5210,TOS,5.961
5703,Solbor,Bajoran,3,7.8,2040,DS9,5.946
792,Brooks,Human,27,6.76,6556,VOY,5.941
2896,Joe Carey,Human,7,6.81,6120,VOY,5.937
4953,Q,Q,22,6.98,4920,"TNG, PIC, VOY, DS9, LD",5.931
366,Arex,Edosian,11,6.49,9225,TAS,5.928
976,Charles Vance,Human,16,6.33,11422,DIS,5.916
1821,Fields,Human,3,6.93,5109,TOS,5.914
6175,Thompson,Human,16,6.55,8286,VOY,5.91
5909,T'Rina,Vulcan,10,6.33,11184,DIS,5.899
755,Brenner,Human,1,6.9,5000,TOS,5.877
5795,Stiles,Human,1,6.9,5000,TOS,5.877
2108,Golwat,Bolian,6,7.68,2108,VOY,5.875
3106,Kadan,Unknown,2,7.69,2019,VOY,5.856
2697,Jaffen,Norvalen,2,7.69,2019,VOY,5.856
6390,Umali,Unknown,1,7.7,2000,VOY,5.853
3200,Kayshon,The Children of Tama,9,7.67,2058,LD,5.851
121,Agnes Jurati,Borg,20,6.88,4917,PIC,5.849
289,Andy Billups,Human,17,7.2,3226,LD,5.82
3791,Luther Sloan,Human,3,7.61,2047,DS9,5.806
1140,Cristóbal Rios,Human,18,6.85,4772,PIC,5.804
3172,Kashimuro Nozawa,Human,38,6.83,4848,VOY,5.793
1653,Elnor,Romulan,15,6.86,4632,PIC,5.793
6285,Torigan,Human,14,7.1,3438,TNG,5.779
1786,Fantome,Fantome's species,1,7.6,2000,VOY,5.777
3721,Loquar,Overlooker,1,7.6,2000,VOY,5.777
722,Bosaal,Unknown,1,7.6,2000,VOY,5.777
2848,Jessica Sloan,Human,1,7.6,2000,DS9,5.777
6433,Valen,Annari,1,7.6,2000,VOY,5.777
1982,Garon,Nygean,1,7.6,2000,VOY,5.777
517,Bandee,Human,1,7.6,2000,DS9,5.777
3542,Laris,Romulan,7,6.88,4352,PIC,5.762
465,B'Etor,Klingon,4,7.13,3105,"TNG, DS9",5.732
3788,Lursa,Klingon,4,7.13,3105,"TNG, DS9",5.732
2533,Ira Graves,Human,1,6.9,4000,TNG,5.723
5550,Selar,Vulcan,1,6.9,4000,TNG,5.723
3149,Kareen Brianon,Human,1,6.9,4000,TNG,5.723
3552,Larson,Human,6,7.46,2142,"VOY, TNG",5.721
1796,Feezal Phlox,Denobulan,1,7.5,2000,ENT,5.701
6762,Yuris,Vulcan,1,7.5,2000,ENT,5.701
718,Boris Karloff,Human,1,7.5,2000,ENT,5.701
6584,Weiss,Human,1,7.5,2000,VOY,5.701
3221,Kejal,Cardassian,1,7.5,2000,VOY,5.701
2488,Iden,Bajoran,1,7.5,2000,VOY,5.701
5812,Strom,Vulcan,1,7.5,2000,ENT,5.701
1479,Donik,Hirogen,1,7.5,2000,VOY,5.701
4666,Oratt,Vulcan,1,7.5,2000,ENT,5.701
1869,Frankenstein's monster,Unknown,2,7.49,2018,ENT,5.701
5310,Rollman,Human,2,7.11,3028,DS9,5.699
3110,Kahless,Unknown,2,7.09,3034,"TNG, TOS",5.688
1449,Divok,Klingon,1,7.1,3000,TNG,5.685
5976,Tahna Los,Bajoran,1,7.1,3000,DS9,5.685
3390,Koroth,Klingon,1,7.1,3000,TNG,5.685
1252,Danar,Cardassian,1,7.1,3000,DS9,5.685
6286,Torin,Klingon,1,7.1,3000,TNG,5.685
3533,Lang,Human,4,7.43,2098,"TOS, VOY",5.681
98,Adam Soong,Human,6,6.79,4190,PIC,5.663
3592,Lee,Human,4,6.81,4091,"PIC, DS9",5.662
6767,Yvette Picard,Human,7,6.78,4252,"PIC, TNG",5.662
3241,Kemi,Haliian,2,6.82,4051,PIC,5.661
5660,Sing,Bajoran,2,6.82,4051,PIC,5.661
4376,Moshe,Trill,2,6.82,4051,PIC,5.661
6405,Urtern,Human,2,6.82,4051,PIC,5.661
382,Armstrong,Human,25,6.84,3917,"TNG, PIC, ENT",5.656
3017,Joseph Sisko,Human,7,7.36,2158,DS9,5.652
5155,Renée Picard,Human,4,6.79,4116,PIC,5.65
6096,Teresa Ramirez,Human,7,6.77,4234,PIC,5.65
3380,Kore Soong,Human,4,6.79,4107,PIC,5.648
5180,Ricardo,Human,5,6.77,4154,PIC,5.644
5994,Tallinn,Romulan,6,6.77,4195,PIC,5.643
4126,Maya Orlando,Human,1,6.8,4000,PIC,5.64
237,Amanda Manes,Human,1,6.8,4000,PIC,5.64
5240,River Campos,Human,1,6.8,4000,PIC,5.64
172,Alex Davis,Human,1,6.8,4000,PIC,5.64
3593,Lee Dashel,Human,1,6.8,4000,PIC,5.64
5126,Reese Fisher,Human,1,6.8,4000,PIC,5.64
1244,Damron,Xindi-Reptilian,2,7.4,2018,ENT,5.635
6305,Tracy Pollard,Human,16,6.08,10559,DIS,5.632
1243,Dammar,Nyrian,1,7.4,2000,VOY,5.625
2765,Jarlath,Jarlath's species,1,7.4,2000,VOY,5.625
5988,Taleen,Nyrian,1,7.4,2000,VOY,5.625
3577,Lawrence Strode,Human,1,7.4,2000,ENT,5.625
4324,Molina,Human,1,7.4,2000,VOY,5.625
5233,Rislan,Nyrian,1,7.4,2000,VOY,5.625
2021,Gennaro,Unknown,1,7.4,2000,VOY,5.625
3719,Loomis,Human,1,7.4,2000,ENT,5.625
2044,Georgia Tandy,Human,1,7.4,2000,ENT,5.625
5116,Rebi,Wysanti,6,6.76,4082,VOY,5.622
460,Azan,Wysanti,6,6.76,4082,VOY,5.622
3678,Linus,Unknown,21,6.28,7682,DIS,5.615
5496,Sarah Sisko,Human,5,7.33,2093,DS9,5.606
5236,Rita Tannenbaum,Human,36,6.61,4791,DS9,5.6
108,Adira Tal,Unknown,18,6.03,10508,DIS,5.585
4202,Mezoti,Norcadian,5,7.3,2082,VOY,5.579
2224,Grudge,Unknown,11,6.03,10275,DIS,5.573
3403,Kova Esmar,Haliian,10,8.79,566,PIC,5.572
3654,Liam Shaw,Human,10,8.79,566,PIC,5.572
4097,Matthew Mura,Bajoran,10,8.79,566,PIC,5.572
5642,Sidney La Forge,Human,10,8.79,566,PIC,5.572
2671,Jack Crusher,Human,10,8.79,566,PIC,5.572
6826,Zora,Unknown,12,6.03,10261,"DIS, TOS",5.566
5434,Saghi,Bajoran,2,7.31,2023,DS9,5.565
2964,John Torres,Human,2,7.3,2019,VOY,5.554
4294,Miral Paris,Klingon,2,7.3,2003,VOY,5.55
1827,First,Kelemane's species,1,7.3,2000,VOY,5.549
2153,Grat,Tandaran,1,7.3,2000,ENT,5.549
893,Carl Torres,Human,1,7.3,2000,VOY,5.549
1641,Elizabeth Torres,Human,1,7.3,2000,VOY,5.549
4233,Michael Torres,Human,1,7.3,2000,VOY,5.549
5440,Sajen,Suliban,1,7.3,2000,ENT,5.549
1266,Danik,Suliban,1,7.3,2000,ENT,5.549
3343,Klev,Tandaran,1,7.3,2000,ENT,5.549
4465,Narra,Suliban,1,7.3,2000,ENT,5.549
1361,Dean Torres,Human,1,7.3,2000,VOY,5.549
4769,Patrick Gibson,Human,12,6.63,4223,VOY,5.538
6203,Timothy Lang,Human,12,7.16,2249,VOY,5.526
4228,Michael Rostov,Human,3,6.65,4018,ENT,5.52
535,Barnes,Trill,14,7.78,1162,LD,5.49
6553,W. Woods,Human,22,7.03,2409,"ENT, DIS",5.478
2824,Jennifer Sh'reyan,Andorian,9,7.82,1081,LD,5.465
3235,Kelly,Human,17,7.02,2349,"DS9, ENT, TOS",5.452
1146,Culluh,Kazon,6,7.11,2110,VOY,5.44
5572,Seska,Cardassian,13,7.04,2274,VOY,5.439
751,Braxton,Human,3,7.13,2052,VOY,5.436
1944,Gabler,Human,4,6.65,3512,TAS,5.431
3807,M'Ress,Caitian,5,6.48,4307,TAS,5.426
109,Aditya Sahil,Human,3,6.52,4092,DIS,5.42
3625,Les Buenamigo,Human,5,7.82,1020,LD,5.419
435,Audrey Willa,Human,5,6.5,4147,DIS,5.418
1600,Edward Jellico,Human,4,8.03,844,"TNG, PRO",5.414
6786,Zareh,Unknown,3,6.51,4075,DIS,5.411
4251,Migleemo,Migleemo's species,5,7.81,1024,LD,5.411
3407,Kovich,Human,7,6.49,4185,DIS,5.409
5984,Tal Celes,Bajoran,2,7.1,2019,VOY,5.404
