character_name,species,num_episodes,nn_avg_rating,total_votes,series,popularity_score
Murphy,Human,29,7.02,4604,VOY,2.01
Brooks,Human,27,6.87,6556,VOY,2.01
Lydia Anderson,Human,21,6.83,12309,VOY,1.99
Katherine Pulaski,Human,20,6.56,20641,TNG,1.98
Shaxs,Bajoran,26,7.19,4301,LD,1.98
Haynem,Human,21,6.88,10374,ENT,1.97
T'Ana,Caitian,26,7.16,4300,LD,1.97
Keiko O'Brien,Human,27,6.94,4731,"DS9, TNG",1.96
Renlay Sharr,Human,20,6.93,10336,VOY,1.95
Naomi Wildman,Human,19,7.0,10345,VOY,1.94
Gabriel Lorca,Human,15,7.03,19664,DIS,1.93
M'Pella,Unknown,23,7.09,4512,DS9,1.9
Kyle,Human,18,7.26,6823,"SNW, TAS, TOS, TNG",1.89
Q,Q,22,7.08,4920,"TNG, PIC, VOY, DS9, LD",1.89
Una Chin-Riley,Illyrian,16,7.19,10803,"SNW, DIS, TOS",1.89
Alfonse Pacelli,Human,20,6.65,10661,TNG,1.88
Foster,Human,21,7.21,4459,"VOY, ENT",1.87
Armstrong,Human,25,6.94,3917,"TNG, PIC, ENT",1.87
Hutchison,Human,22,7.05,4378,ENT,1.85
Female Changeling,Changeling,15,7.54,6265,DS9,1.83
Harrison,Human,18,6.95,5845,TOS,1.77
Kasidy Yates-Sisko,Human,15,7.26,6311,DS9,1.76
W. Woods,Human,22,7.16,2409,"ENT, DIS",1.75
Patti,Human,14,7.12,8458,TNG,1.74
Linus,Unknown,21,6.28,7682,DIS,1.74
Agnes Jurati,Borg,20,6.7,4917,PIC,1.73
Maxwell Forrest,Human,14,7.26,6270,ENT,1.72
Thompson,Human,16,6.72,8286,VOY,1.72
Tracy Pollard,Human,16,6.51,10559,DIS,1.71
Alyssa Ogawa,Human,16,7.16,4676,TNG,1.71
Daniels,Human,14,7.18,6334,"ENT, TNG",1.7
Gowron,Klingon,12,7.71,5280,"DS9, TNG",1.7
Leeta,Bajoran,17,7.0,4364,DS9,1.69
L'Rell,Klingon,14,6.99,6692,DIS,1.67
Andy Billups,Human,17,7.14,3226,LD,1.67
Cristóbal Rios,Human,18,6.66,4772,PIC,1.66
Borg Queen,Borg,17,7.24,2647,"PIC, VOY, LD",1.65
Adira Tal,Unknown,18,6.05,10508,DIS,1.65
Jett Reno,Human,14,6.53,11408,DIS,1.65
Katrina Cornwell,Human,12,6.91,10481,DIS,1.64
Bobby,Human,14,6.94,5672,TOS,1.62
Sarek,Vulcan,14,7.1,4625,"DIS, TOS, TNG, TAS",1.62
Charles Vance,Human,16,6.07,11422,DIS,1.61
Kelly,Human,17,7.17,2349,"DS9, ENT, TOS",1.61
William Ross,Human,12,7.48,4230,DS9,1.6
Winn Adami,Bajoran,14,7.05,4281,DS9,1.6
Wright,Human,12,6.85,8383,TNG,1.59
D. Nhan,Barzan,15,6.76,4562,DIS,1.58
Elnor,Romulan,15,6.74,4632,PIC,1.58
Molly O'Brien,Human,14,6.92,4345,"DS9, TNG",1.57
Icheb,Brunali,12,6.8,8179,"VOY, PIC",1.57
Joseph M'Benga,Human,11,7.15,6545,"TOS, SNW",1.56
Ro Laren,Bajoran,9,7.44,8284,"TNG, PIC",1.55
La'an Noonien-Singh,Human,10,7.28,6532,SNW,1.53
Erica Ortegas,Human,10,7.28,6532,SNW,1.53
Amanda Grayson,Human,12,7.05,4476,"DIS, TOS, TAS",1.52
Torigan,Human,14,6.71,3438,TNG,1.48
Reginald Barclay,Human,11,7.14,4262,"VOY, TNG",1.48
Thy'lek Shran,Andorian,10,7.35,4166,ENT,1.47
Soval,Vulcan,12,7.42,2260,ENT,1.47
Susan Nicoletti,Human,27,6.81,614,VOY,1.46
Zora,Unknown,12,6.03,10261,"DIS, TOS",1.43
Patrick Gibson,Human,12,6.69,4223,VOY,1.43
Arex,Edosian,11,6.32,9225,TAS,1.43
Grudge,Unknown,11,6.14,10275,DIS,1.41
Timothy Lang,Human,12,7.08,2249,VOY,1.4
Michael Eddington,Human,9,7.56,3200,DS9,1.4
Seska,Cardassian,13,6.86,2274,VOY,1.4
Locutus of Borg,Borg,7,7.71,5350,"DS9, PIC, TNG",1.38
Barnes,Trill,14,7.21,1162,LD,1.38
Jannar,Xindi-Arboreal,10,7.48,2166,ENT,1.38
Vinci,Human,18,7.0,808,TOS,1.38
Janice Rand,Human,9,6.99,5411,"TOS, VOY",1.38
Asencia,Vau N'Akat,9,7.3,3509,PRO,1.37
Degra,Xindi-Primate,10,7.37,2166,ENT,1.36
T'Rina,Vulcan,10,5.9,11184,DIS,1.32
Tysess,Andorian,8,7.37,3106,PRO,1.3
Kayshon,The Children of Tama,9,7.39,2058,LD,1.3
Cleveland Booker,Kwejian,12,5.79,6277,DIS,1.3
S. Money,Human,10,6.97,2167,ENT,1.28
Lopez,Human,17,6.9,613,TNG,1.28
George Samuel Kirk,Human,6,7.46,6279,"SNW, TOS",1.27
Maggie Hubbell,Human,6,7.15,9157,"TNG, DS9",1.27
Dolim,Xindi-Reptilian,8,7.51,2129,ENT,1.27
Leland,Human,8,6.88,4296,DIS,1.26
Gray Tal,Unknown,10,5.9,7291,DIS,1.26
Weyoun 5,Vorta,15,7.58,397,DS9,1.26
James,Human,6,7.43,5292,TOS,1.24
Brunt,Ferengi,8,6.8,4138,DS9,1.24
Vic Fontaine,Human,8,7.29,2178,DS9,1.23
Liam Shaw,Human,10,8.06,566,PIC,1.23
Matthew Mura,Bajoran,10,8.06,566,PIC,1.23
Jack Crusher,Human,10,8.06,566,PIC,1.23
Kova Esmar,Haliian,10,8.06,566,PIC,1.23
Neral,Romulan,15,7.3,423,"DS9, TNG",1.23
Sidney La Forge,Human,10,8.06,566,PIC,1.23
Laris,Romulan,7,6.98,4352,PIC,1.22
Kol,Klingon,7,6.71,6292,"DIS, VOY, TNG",1.22
Noum,Tellarite,7,7.37,2708,PRO,1.21
Joe Carey,Human,7,6.66,6120,VOY,1.21
Jennifer Sh'reyan,Andorian,9,7.38,1081,LD,1.19
Casey,Human,6,7.02,6062,"TNG, LD",1.19
E. Hamboyan,Human,17,7.1,329,ENT,1.19
Joseph Sisko,Human,7,7.33,2158,DS9,1.17
Williams,Human,6,7.18,4167,"TNG, ENT",1.17
Vorik,Vulcan,8,6.86,2158,VOY,1.16
Gabrielle Burnham,Human,6,6.54,8141,DIS,1.15
Lewis,Human,5,7.5,5210,TOS,1.15
Ellen Landry,Unknown,5,6.78,13121,DIS,1.15
Burton,Human,7,6.81,3215,TNG,1.14
Weyoun 8,Vorta,5,7.67,4071,DS9,1.14
Larson,Human,6,7.56,2142,"VOY, TNG",1.13
Maihar'du,Hupyrian,7,6.54,4119,DS9,1.13
Zek,Ferengi,7,6.54,4119,DS9,1.13
Reel,Human,13,6.93,481,TNG,1.13
Samantha Wildman,Human,8,6.57,2157,VOY,1.11
Tomalak,Romulan,4,7.62,8143,TNG,1.1
A. Tamras,Human,14,7.22,271,ENT,1.1
Rebi,Wysanti,6,6.79,4082,VOY,1.1
Azan,Wysanti,6,6.79,4082,VOY,1.1
Harcourt Fenton Mudd,Human,5,6.79,7040,"DIS, TOS, TAS",1.08
Boliska,Human,5,6.7,8136,TNG,1.08
Laira Rillak,Unknown,9,5.8,3227,DIS,1.08
Angela Martine,Human,4,7.2,11091,"SNW, TOS",1.08
Yvette Picard,Human,7,6.22,4252,"PIC, TNG",1.08
Soji Asha,Unknown,10,7.1,547,PIC,1.07
Teresa Ramirez,Human,7,6.14,4234,PIC,1.07
R. Ryan,Human,14,6.98,278,"ENT, DIS",1.07
Christopher,Human,8,6.0,3202,"DIS, TNG",1.06
Kovich,Human,7,6.09,4185,DIS,1.06
T'Veen,Vulcan,8,7.91,421,PIC,1.05
Lore,Unknown,5,7.04,4157,"TNG, PIC",1.05
Ruon Tarka,Risian,8,5.9,3170,DIS,1.04
Dolak,Cardassian,11,7.31,310,"DS9, TNG",1.04
Plix Tixiplik,Reegrunion,11,7.2,309,"DS9, TNG",1.03
Adam Soong,Human,6,6.35,4190,PIC,1.03
Jenna Mitchell,Human,4,7.24,6197,SNW,1.02
Golwat,Bolian,6,6.8,2108,VOY,1.01
Culluh,Kazon,6,6.79,2110,VOY,1.01
Walsh,Human,13,6.81,262,"DIS, ENT",1.0
Sarah Sisko,Human,5,7.24,2093,DS9,0.99
Alexander Rozhenko,Human,11,6.8,350,"TNG, DS9",0.99
Orta,Bajoran,10,7.21,284,"DS9, TNG",0.98
Voq,Klingon,4,6.94,6206,DIS,0.98
Tallinn,Romulan,6,6.07,4195,PIC,0.98
Weyoun 7,Vorta,4,7.15,4042,DS9,0.96
Diatta Ndoye,Human,6,6.08,3135,DIS,0.95
Narek,Romulan,8,7.08,450,PIC,0.95
Palmer,Human,4,6.94,5119,"TNG, TOS",0.95
Audrey Willa,Human,5,6.35,4147,DIS,0.95
M'Ress,Caitian,5,6.31,4307,TAS,0.95
Mezoti,Norcadian,5,6.91,2082,VOY,0.95
Gor,Breen,4,7.14,4040,DS9,0.95
Tora Ziyal,Bajoran,9,7.54,224,DS9,0.94
Les Buenamigo,Human,5,7.55,1020,LD,0.94
Doug Bronowski,Human,5,6.88,2115,VOY,0.94
Ishka,Ferengi,5,6.78,2093,DS9,0.93
Spot,Unknown,9,7.01,326,"TNG, PIC",0.93
R. Azar,Human,11,7.03,202,ENT,0.93
Lursa,Klingon,4,7.15,3105,"TNG, DS9",0.92
B'Etor,Klingon,4,7.15,3105,"TNG, DS9",0.92
Ricardo,Human,5,6.11,4154,PIC,0.91
Milton Richter,Human,3,6.93,13059,DIS,0.91
Osborne,Human,3,7.57,6092,TOS,0.91
Migleemo,Migleemo's species,5,7.3,1024,LD,0.91
DeSalle,Human,3,7.6,5101,TOS,0.9
Michael Parsons,Human,10,6.79,244,VOY,0.9
Lee,Human,4,6.73,4091,"PIC, DS9",0.9
R. Richards,Human,10,7.2,185,ENT,0.9
Lang,Human,4,7.21,2098,"TOS, VOY",0.89
Vadic,Unknown,6,7.89,304,PIC,0.88
Narissa,Romulan,7,7.06,370,PIC,0.87
Longo,Human,4,6.44,4164,TNG,0.86
Lwaxana Troi,Betazoid,9,6.46,291,"TNG, DS9",0.84
Renée Picard,Human,4,6.28,4116,PIC,0.84
Kore Soong,Human,4,6.26,4107,PIC,0.84
Dexter Remmick,Human,3,6.75,8043,TNG,0.84
Fields,Human,3,7.12,5109,TOS,0.84
Gabler,Human,4,6.4,3512,TAS,0.84
Mila,Cardassian,3,7.81,2056,DS9,0.83
Alandra La Forge,Human,5,8.21,286,PIC,0.83
Hemmer,Aenar,6,7.21,370,SNW,0.83
Daystrom Android M-5-10,Unknown,5,8.21,286,PIC,0.83
Kor,Klingon,5,6.73,975,"DS9, TOS, TAS",0.83
Pran,Breen,3,7.86,2050,DS9,0.83
Hoy,Human,6,7.5,295,TNG,0.83
Ohk,Trill,5,8.12,292,PIC,0.83
Edward Jellico,Human,4,7.63,844,"TNG, PRO",0.83
Haj,Unknown,7,6.8,320,DIS,0.82
Osyraa,Orion,4,6.15,4107,DIS,0.82
Talas,Andorian,3,7.69,2036,ENT,0.81
Thalen,Xindi-Primate,3,7.69,2038,ENT,0.81
Korok,Klingon,3,7.0,4021,"ENT, VOY",0.81
Rusot,Cardassian,3,7.65,2042,DS9,0.81
Ina,Human,4,6.07,4102,DIS,0.81
Hugh,Unknown,6,7.4,274,"TNG, PIC",0.81
Eli Foster,Changeling,5,7.91,280,PIC,0.8
Galloway,Human,6,7.23,281,TOS,0.79
Opaka,Bajoran,3,6.66,5048,DS9,0.79
Brian Sofin,Human,3,6.88,4042,VOY,0.79
Oh,Romulan,6,7.06,313,PIC,0.79
Leah Brahms,Human,3,6.85,4047,"TNG, LD",0.79
Leonardo da Vinci,Human,3,7.37,2046,"VOY, LD",0.78
Luther Sloan,Human,3,7.37,2047,DS9,0.78
Silik,Suliban,7,7.23,176,ENT,0.78
Jennifer Sisko,Human,3,6.58,5046,DS9,0.78
Hirai,Human,4,5.95,3069,DIS,0.77
Bertram,Human,3,7.25,2058,DS9,0.77
Vash,Human,3,6.68,4067,"TNG, DS9",0.77
Braxton,Human,3,7.2,2052,VOY,0.76
Hansen Al-Salah,Human,2,7.46,11000,"SNW, TOS",0.76
Robert Tomlinson,Human,2,7.46,11000,"SNW, TOS",0.76
Bareil Antos,Bajoran,8,6.6,194,DS9,0.76
Hogan,Human,7,7.15,164,VOY,0.76
Aditya Sahil,Human,3,6.62,4092,DIS,0.76
Landru,Unknown,2,7.94,6019,"LD, TOS",0.76
Batel,Human,2,7.9,6075,SNW,0.76
Decius,Romulan,2,7.46,11000,"SNW, TOS",0.76
Solbor,Bajoran,3,7.22,2040,DS9,0.76
Zareh,Unknown,3,6.5,4075,DIS,0.75
Dorado,Human,8,6.79,148,VOY,0.75
Kurt Bendera,Human,8,6.7,157,VOY,0.75
Michael Rostov,Human,3,6.45,4018,ENT,0.74
Stone,Human,2,7.62,7063,"DIS, TOS",0.74
Doctor Chaotica,Human,3,6.87,2047,VOY,0.73
B. Moreno,Human,7,7.11,138,ENT,0.73
Alynna Nechayev,Human,6,7.2,188,"TNG, DS9",0.73
Satan's Robot,Unknown,3,6.87,2047,VOY,0.73
Kamran Gant,Human,5,7.04,293,DIS,0.72
Henry,Human,3,6.82,2059,"DS9, ENT, TNG",0.72
Fletcher,Human,5,7.31,236,"TNG, ENT, LD",0.72
Petra Aberdeen,Human,3,7.55,994,LD,0.72
Gleason,Human,2,7.85,4059,TNG,0.72
Cutler,Human,3,6.81,2047,ENT,0.72
Tamar,Teplan,2,7.44,6023,"DS9, TOS",0.71
Kane,Human,2,7.64,4044,TNG,0.7
M. Romero,Human,6,7.52,115,ENT,0.7
Harrington,Human,2,7.19,7048,DIS,0.7
Su'Kal,Kelpien,3,6.07,4076,DIS,0.7
Jack London,Human,2,7.58,4041,TNG,0.69
Eric Burton,Human,3,6.2,3063,TNG,0.69
Mandel,Human,2,7.6,4013,"TNG, LD",0.69
Evek,Cardassian,6,6.79,180,"VOY, TNG, DS9",0.69
Samuel Clemens,Human,2,7.58,4041,TNG,0.69
Robert April,Human,3,7.16,929,"SNW, TAS",0.68
Seskal,Cardassian,2,7.45,4000,DS9,0.68
Joran Dax,Trill,3,6.46,2046,DS9,0.68
Frank,Human,3,6.47,2040,VOY,0.68
Velal,Romulan,2,7.45,4000,DS9,0.68
Grimes,Human,2,7.0,6022,"VOY, DIS",0.67
Kroad,Human,2,7.18,4053,DIS,0.66
Zefram Cochrane,Human,5,7.25,159,"ENT, LD, TOS",0.66
Nicola,Human,2,7.18,4053,DIS,0.66
Me Hani Ika Hali Ka Po,Xahean,2,7.18,4053,DIS,0.66
Mann,Human,2,7.18,4053,DIS,0.66
Colt,Unknown,2,7.18,4053,DIS,0.66
Amin,Human,2,7.18,4053,DIS,0.66
Hayes,Human,5,7.41,141,"VOY, TNG",0.66
Stella Mudd,Human,2,6.88,6039,"TOS, DIS",0.66
Jarvis,Human,6,6.94,124,VOY,0.65
Christina,Human,4,7.51,224,SNW,0.65
Broca,Cardassian,2,7.82,2029,DS9,0.65
Michael Jonas,Human,6,6.79,136,VOY,0.65
Anya,Allasomorph,2,7.05,4014,"LD, TNG",0.64
T'Kuvma,Klingon,4,7.11,257,DIS,0.64
Mark Johnson,Human,6,6.5,159,VOY,0.64
Noonian Soong,Human,2,7.04,4032,TNG,0.64
Taahz Gorev,Tellarite,3,5.74,3075,DIS,0.64
Burke,Human,2,7.06,4023,"DS9, TNG",0.64
Curzon Dax,Trill,2,6.83,5023,DS9,0.64
Angelo Tassoni,Human,2,6.87,4023,VOY,0.63
Elizabeth Shelby,Human,3,8.61,191,"TNG, PIC",0.63
Marla Gilmore,Human,2,6.87,4023,VOY,0.63
Maxwell Burke,Human,2,6.87,4023,VOY,0.63
Sylvia,Human,2,6.92,4053,TOS,0.63
Thadiun Okona,Coalition of Madena species,3,6.86,779,"PRO, TNG",0.63
Noah Lessing,Human,2,6.87,4023,VOY,0.63
Bruce Maddox,Human,4,7.25,216,"PIC, TNG",0.63
Troy Januzzi,Human,4,7.04,258,DIS,0.63
Owen Paris,Human,6,6.86,109,VOY,0.63
Britch Weeton,Human,4,7.04,258,DIS,0.63
Rudolph Ransom,Human,2,6.87,4023,VOY,0.63
Urtern,Human,2,6.84,4051,PIC,0.62
Gregory Quinn,Human,2,6.84,4043,TNG,0.62
Dahj Asha,Unknown,4,7.07,237,PIC,0.62
Sing,Bajoran,2,6.84,4051,PIC,0.62
Moshe,Trill,2,6.84,4051,PIC,0.62
Towles,Human,4,7.69,153,TNG,0.62
Kemi,Haliian,2,6.84,4051,PIC,0.62
Vina,Human,4,7.12,220,"DIS, TOS",0.62
Rollman,Human,2,7.07,3028,DS9,0.62
Christy Henshaw,Human,2,6.81,4035,TNG,0.62
Sela,Unknown,4,7.55,150,TNG,0.61
Laura,Human,2,7.31,2021,VOY,0.61
Sharr,Human,5,7.19,117,VOY,0.61
Emil,Unknown,4,7.03,210,PIC,0.61
T'Pring,Vulcan,4,6.95,225,"TOS, SNW",0.61
Steve Stevens,Human,6,7.03,85,LD,0.61
Axum,Axum's species,2,7.31,2021,VOY,0.61
Kurn,Klingon,4,7.51,142,"TNG, DS9",0.6
Saghi,Bajoran,2,7.22,2023,DS9,0.6
Homn,Unknown,5,6.41,187,TNG,0.6
Terral,Vulcan,4,6.89,217,DIS,0.6
Damron,Xindi-Reptilian,2,7.16,2018,ENT,0.6
Hansen,Human,4,7.06,190,"TOS, TNG",0.6
Enabran Tain,Cardassian,4,7.86,109,DS9,0.59
McKnight,Human,4,7.32,152,TNG,0.59
T'Pau,Vulcan,5,6.98,113,"TOS, ENT, VOY",0.59
Ujilli,Klingon,4,6.73,221,DIS,0.59
Kahless,Unknown,2,6.55,3034,"TNG, TOS",0.58
Teemo,Human,2,6.35,4033,DIS,0.58
Aurellio,Human,2,6.35,4033,DIS,0.58
Nakamura,Human,3,7.93,199,TNG,0.58
Steve Levy,Human,2,7.6,991,LD,0.58
Felton,Human,5,6.38,165,TNG,0.58
Franklin,Human,2,6.96,2034,"TNG, ENT",0.58
Kadan,Unknown,2,6.94,2019,VOY,0.58
Guardian of Forever,Unknown,4,7.08,158,"DIS, TOS, TAS",0.58
Jaffen,Norvalen,2,6.94,2019,VOY,0.58
Issa,Kelpien,2,6.25,4036,DIS,0.57
Sariel Rager,Human,4,7.01,151,TNG,0.57
Pav,Unknown,2,6.23,4047,DIS,0.57
F. Hawkins,Human,5,6.73,108,"DIS, ENT",0.57
J. Hayes,Human,5,7.06,92,ENT,0.57
Lonzak,Human,2,6.74,2024,VOY,0.56
Miral Paris,Klingon,2,6.67,2003,VOY,0.56
Tal Celes,Bajoran,2,6.73,2019,VOY,0.56
May Ahearn,JahSepp,4,6.71,179,DIS,0.56
John Torres,Human,2,6.75,2019,VOY,0.56
Erin Hansen,Unknown,4,7.49,95,VOY,0.55
Frankenstein's monster,Unknown,2,6.63,2018,ENT,0.55
Maurice Picard,Human,4,6.64,177,"PIC, TNG",0.55
Latia,Teplan,2,6.63,2023,"DS9, ENT",0.55
Brin,Bajoran,2,6.52,2021,"DS9, VOY",0.55
Van Mayter,Human,4,6.84,143,TNG,0.55
Sneed,Ferengi,3,7.85,159,PIC,0.55
Tanis,Kelis' species,2,6.59,2021,VOY,0.55
Magnus Hansen,Unknown,4,7.49,95,VOY,0.55
"Duras, son of Ja'rod",Klingon,3,7.59,165,"PIC, TNG",0.54
Mitchell,Human,2,6.49,2022,"VOY, ENT",0.54
James Moriarty,Human,3,7.85,142,"TNG, PIC",0.54
T'Pel,Vulcan,4,7.12,108,"VOY, TNG",0.54
Alonzo Freeman,Human,5,7.04,74,LD,0.54
John Farrell,Human,3,7.27,183,TOS,0.53
Kaseth,Romulan,2,7.24,737,PRO,0.53
Mary Kim,Human,2,6.36,2019,VOY,0.53
Barniss Frex,Denobulan,2,7.3,779,PRO,0.53
Karavitus,Human,2,6.84,1016,LD,0.52
Fitzgerald,Human,2,6.18,2033,"VOY, TOS",0.52
Asif,Human,2,6.84,1016,LD,0.52
Mom AI,Unknown,3,7.2,186,PIC,0.52
Zhaban,Romulan,3,7.04,201,PIC,0.52
Bob Wesley,Human,2,6.87,1039,"TAS, TOS",0.52
Danby Connor,Human,3,6.97,210,DIS,0.52
Nandi,Ferengi,2,7.06,863,PRO,0.52
The Keeper,Talosian,3,7.2,171,"DIS, TOS",0.51
Altan Soong,Human,3,7.39,147,PIC,0.51
Maggie O'Halloran,Human,2,6.09,2023,VOY,0.51
Liam,Human,2,6.09,2023,VOY,0.51
Michael Sullivan,Human,2,6.09,2023,VOY,0.51
Wilson,Human,3,7.33,155,TOS,0.51
Seamus,Human,2,6.09,2023,VOY,0.51
Grace Declan,Human,2,6.09,2023,VOY,0.51
V. Brown,Human,4,7.2,82,ENT,0.51
Phil Boyce,Human,3,6.98,175,TOS,0.5
